"region","country"
"Northern Europe","Denmark"
"Northern Europe","Estonia"
"Northern Europe","Faeroe Islands"
"Northern Europe","Finland"
"Northern Europe","Iceland"
"Northern Europe","Latvia"
"Northern Europe","Lithuania"
"Northern Europe","Norway"
"Northern Europe","Sweden"
"Western Europe","Andorra"
"Western Europe","Austria"
"Western Europe","Belgium"
"Western Europe","France"
"Western Europe","Germany"
"Western Europe","Liechtenstein"
"Western Europe","Luxembourg"
"Western Europe","Monaco"
"Western Europe","Netherlands"
"Western Europe","Switzerland"
"Southern Europe","Albania"
"Southern Europe","Bosnia and Herzegovina"
"Southern Europe","Croatia"
"Southern Europe","Cyprus"
"Southern Europe","Gibraltar"
"Southern Europe","Greece"
"Southern Europe","Italy"
"Southern Europe","Kosovo"
"Southern Europe","Malta"
"Southern Europe","Montenegro"
"Southern Europe","North Macedonia"
"Southern Europe","Portugal"
"Southern Europe","San Marino"
"Southern Europe","Serbia"
"Southern Europe","Slovenia"
"Southern Europe","Spain"
"Southern Europe","Vatican"
"Eastern Europe","Belarus"
"Eastern Europe","Bulgaria"
"Eastern Europe","Czechia"
"Eastern Europe","Hungary"
"Eastern Europe","Moldova"
"Eastern Europe","Poland"
"Eastern Europe","Romania"
"Eastern Europe","Russia"
"Eastern Europe","Slovakia"
"Eastern Europe","Ukraine"
"British Isles","Guernsey"
"British Isles","Ireland"
"British Isles","Isle of Man"
"British Isles","Jersey"
"British Isles","United Kingdom"
